"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1897-09-14,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
1897-09-15,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
1897-09-17,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
1901-03-03,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-04,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-05,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-06,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-07,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-08,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-09,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1901-03-10,"?? [Hotel in Berlin 1901]",pmb144052,"","","Hotel Hotel"
1900-05-14,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1900-05-15,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1900-05-16,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1900-05-18,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1900-05-28,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1900-06-05,"?? [Karlsgasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb169287,"","","Wohnung Apartment"
1921-10-01,"?? [Lehmann]",pmb292780,"","","Lokal Restaurant"
1922-06-25,"?? [Mauthaus Neuwaldegg]",pmb289357,"","","Gebäude Building"
1921-03-30,"?? [Merkerlokal]",pmb292698,"","","Gebäude Building"
1912-07-23,"?? [Mittelmeer, nördlich der brionischen Inseln]",pmb253447,"44,9466","13,7442","Landschaftlicher Punkt Scenic point"
1912-08-08,"?? [Mittelmeer, nördlich der brionischen Inseln]",pmb253447,"44,9466","13,7442","Landschaftlicher Punkt Scenic point"
1912-08-12,"?? [Mittelmeer, nördlich der brionischen Inseln]",pmb253447,"44,9466","13,7442","Landschaftlicher Punkt Scenic point"
1912-08-20,"?? [Mittelmeer, nördlich der brionischen Inseln]",pmb253447,"44,9466","13,7442","Landschaftlicher Punkt Scenic point"
1912-07-23,"?? [Mittelmeer, südlich der brionischen Inseln]",pmb253449,"44,8851","13,7535","Landschaftlicher Punkt Scenic point"
1912-08-08,"?? [Mittelmeer, südlich der brionischen Inseln]",pmb253449,"44,8851","13,7535","Landschaftlicher Punkt Scenic point"
